*rse  [safe: not_safe=0.317, safe=0.683]
yarakta  [safe: not_safe=0.004, safe=0.996]
yaraktan  [safe: not_safe=0.005, safe=0.995]
yarağa  [safe: not_safe=0.004, safe=0.996]
yarağı  [safe: not_safe=0.005, safe=0.995]
yarağın  [safe: not_safe=0.013, safe=0.987]
yarpie  [safe: not_safe=0.435, safe=0.565]
yarpies  [safe: not_safe=0.147, safe=0.853]
yeasty  [safe: not_safe=0.008, safe=0.992]
yed  [safe: not_safe=0.036, safe=0.964]
yellowman  [not safe: not_safe=0.985, safe=0.015]
yellowshowers  [not safe: not_safe=0.952, safe=0.048]
yid  [not safe: not_safe=0.948, safe=0.052]
yids  [safe: not_safe=0.611, safe=0.389]
yiffy  [safe: not_safe=0.620, safe=0.380]
yobbo  [safe: not_safe=0.078, safe=0.922]
yourboobs  [not safe: not_safe=0.996, safe=0.004]
yourpenis  [not safe: not_safe=0.997, safe=0.003]
yourtits  [not safe: not_safe=0.999, safe=0.001]
yury  [safe: not_safe=0.037, safe=0.963]
zaadje  [safe: not_safe=0.782, safe=0.218]
zabourah  [safe: not_safe=0.462, safe=0.538]
zaebat  [safe: not_safe=0.255, safe=0.745]
zaebis  [safe: not_safe=0.067, safe=0.933]
zajebisty  [safe: not_safe=0.046, safe=0.954]
zakkenwasser  [safe: not_safe=0.050, safe=0.950]
zalupa  [safe: not_safe=0.614, safe=0.386]
zalupat  [safe: not_safe=0.020, safe=0.980]
zamenfek  [safe: not_safe=0.496, safe=0.504]
zasranetc  [safe: not_safe=0.222, safe=0.778]
zassat  [safe: not_safe=0.606, safe=0.394]
zeiken  [safe: not_safe=0.016, safe=0.984]
zeiker  [safe: not_safe=0.036, safe=0.964]
zigabo  [safe: not_safe=0.063, safe=0.937]
zigabos  [safe: not_safe=0.076, safe=0.924]
zigounette  [not safe: not_safe=0.925, safe=0.075]
zinne  [safe: not_safe=0.067, safe=0.933]
zip in the wire  [not safe: not_safe=0.998, safe=0.002]
zipperhead  [not safe: not_safe=0.893, safe=0.107]
zipperheads  [not safe: not_safe=0.972, safe=0.028]
zizi  [safe: not_safe=0.300, safe=0.700]
zkurvit  [safe: not_safe=0.471, safe=0.529]
zkurvysyn  [safe: not_safe=0.620, safe=0.380]
zloebuchy  [safe: not_safe=0.479, safe=0.521]
zmrd  [safe: not_safe=0.807, safe=0.193]
zoccola  [safe: not_safe=0.231, safe=0.769]
zoophile  [safe: not_safe=0.027, safe=0.973]
zoophilia  [safe: not_safe=0.038, safe=0.962]
zorra  [safe: not_safe=0.773, safe=0.227]
zuigen  [not safe: not_safe=0.961, safe=0.039]
zuiplap  [safe: not_safe=0.070, safe=0.930]
Çingenede  [safe: not_safe=0.131, safe=0.869]
Çingeneden  [safe: not_safe=0.244, safe=0.756]
Çingeneler  [safe: not_safe=0.236, safe=0.764]
Çingenelerde  [safe: not_safe=0.448, safe=0.552]
Çingenelerden  [safe: not_safe=0.123, safe=0.877]
Çingenelere  [safe: not_safe=0.393, safe=0.607]
Çingeneleri  [safe: not_safe=0.526, safe=0.474]
Çingenelerin  [safe: not_safe=0.143, safe=0.857]
Çingenenin  [safe: not_safe=0.156, safe=0.844]
Çingeneye  [safe: not_safe=0.077, safe=0.923]
Çingeneyi  [safe: not_safe=0.233, safe=0.767]
ânus  [safe: not_safe=0.541, safe=0.459]
äpärä  [safe: not_safe=0.576, safe=0.424]
çingene  [not safe: not_safe=0.980, safe=0.020]
étron  [safe: not_safe=0.008, safe=0.992]
ĉiesulino  [not safe: not_safe=0.894, safe=0.106]
ĉiesulo  [not safe: not_safe=0.894, safe=0.106]
čumět  [safe: not_safe=0.737, safe=0.263]
čurák  [not safe: not_safe=0.907, safe=0.093]
šoustat  [not safe: not_safe=0.943, safe=0.057]
šulin  [safe: not_safe=0.570, safe=0.430]
žrát  [safe: not_safe=0.124, safe=0.876]
баран  [not safe: not_safe=0.982, safe=0.018]
бздеть  [safe: not_safe=0.688, safe=0.312]
бздёнок  [safe: not_safe=0.641, safe=0.359]
бля  [not safe: not_safe=0.960, safe=0.040]
блядей  [safe: not_safe=0.026, safe=0.974]
блядина  [safe: not_safe=0.413, safe=0.587]
блядки  [safe: not_safe=0.007, safe=0.993]
блядовать  [safe: not_safe=0.179, safe=0.821]
блядота  [not safe: not_safe=0.995, safe=0.005]
блядство  [safe: not_safe=0.027, safe=0.973]
блядська  [not safe: not_safe=0.856, safe=0.144]
блядь  [safe: not_safe=0.103, safe=0.897]
блядів  [safe: not_safe=0.040, safe=0.960]
блять  [safe: not_safe=0.701, safe=0.299]
болван  [safe: not_safe=0.368, safe=0.632]
бугор  [not safe: not_safe=0.986, safe=0.014]
бухой  [not safe: not_safe=0.977, safe=0.023]
быдло  [not safe: not_safe=0.881, safe=0.119]
вздроченный  [safe: not_safe=0.089, safe=0.911]
выебать  [safe: not_safe=0.426, safe=0.574]
выебываться  [safe: not_safe=0.006, safe=0.994]
выпердыш  [safe: not_safe=0.009, safe=0.991]
выёбываться  [safe: not_safe=0.009, safe=0.991]
гандон  [safe: not_safe=0.436, safe=0.564]
гнида  [not safe: not_safe=0.961, safe=0.039]
говно  [safe: not_safe=0.013, safe=0.987]
говнюк  [safe: not_safe=0.624, safe=0.376]
дебил  [safe: not_safe=0.138, safe=0.862]
дерьмо  [not safe: not_safe=0.920, safe=0.080]
долбоеб  [safe: not_safe=0.107, safe=0.893]
долбоёб  [not safe: not_safe=0.897, safe=0.103]
дрочить  [not safe: not_safe=0.967, safe=0.033]
дрянь  [safe: not_safe=0.795, safe=0.205]
дурак  [not safe: not_safe=0.980, safe=0.020]
ебало  [safe: not_safe=0.569, safe=0.431]
ебальник  [safe: not_safe=0.100, safe=0.900]
ебать  [safe: not_safe=0.572, safe=0.428]
еблан  [safe: not_safe=0.113, safe=0.887]
ебло  [safe: not_safe=0.126, safe=0.874]
ебнуть  [not safe: not_safe=0.925, safe=0.075]
жопа  [not safe: not_safe=0.931, safe=0.069]
жополиз  [safe: not_safe=0.550, safe=0.450]
заебать  [safe: not_safe=0.763, safe=0.237]
заебись  [safe: not_safe=0.452, safe=0.548]
залупа  [safe: not_safe=0.570, safe=0.430]
залупать  [not safe: not_safe=0.953, safe=0.047]
засать  [not safe: not_safe=0.860, safe=0.140]
засранец  [safe: not_safe=0.012, safe=0.988]
заёбать  [not safe: not_safe=0.958, safe=0.042]
злоебучий  [safe: not_safe=0.037, safe=0.963]
измудохать  [not safe: not_safe=0.901, safe=0.099]
лох  [not safe: not_safe=0.996, safe=0.004]
малофья  [safe: not_safe=0.046, safe=0.954]
манда  [safe: not_safe=0.787, safe=0.213]
мандавошка  [not safe: not_safe=0.954, safe=0.046]
мент  [safe: not_safe=0.103, safe=0.897]
мразь  [safe: not_safe=0.093, safe=0.907]
муда  [not safe: not_safe=0.987, safe=0.013]
мудак  [safe: not_safe=0.022, safe=0.978]
мудило  [not safe: not_safe=0.985, safe=0.015]
мудозвон  [safe: not_safe=0.009, safe=0.991]
наебать  [safe: not_safe=0.367, safe=0.633]
наебениться  [safe: not_safe=0.117, safe=0.883]
наебнуться  [safe: not_safe=0.786, safe=0.214]
найобувати  [safe: not_safe=0.048, safe=0.952]
найобують  [safe: not_safe=0.008, safe=0.992]
найобує  [safe: not_safe=0.205, safe=0.795]
найобщик  [safe: not_safe=0.015, safe=0.985]
найобщиця  [safe: not_safe=0.004, safe=0.996]
найопувати  [safe: not_safe=0.384, safe=0.616]
найопують  [safe: not_safe=0.035, safe=0.965]
найопує  [not safe: not_safe=0.855, safe=0.145]
найопщик  [safe: not_safe=0.022, safe=0.978]
найопщиця  [safe: not_safe=0.004, safe=0.996]
напзиділи  [safe: not_safe=0.014, safe=0.986]
напиздів  [safe: not_safe=0.134, safe=0.866]
напизділа  [safe: not_safe=0.011, safe=0.989]
напіздив  [safe: not_safe=0.012, safe=0.988]
напіздила  [safe: not_safe=0.096, safe=0.904]
напіздили  [safe: not_safe=0.004, safe=0.996]
нах  [safe: not_safe=0.321, safe=0.679]
нахуй  [safe: not_safe=0.292, safe=0.708]
нахуя  [not safe: not_safe=0.920, safe=0.080]
нахуячиться  [safe: not_safe=0.035, safe=0.965]
нахєр  [safe: not_safe=0.682, safe=0.318]
нахєра  [safe: not_safe=0.294, safe=0.706]
наєбав  [not safe: not_safe=0.842, safe=0.158]
наєбала  [safe: not_safe=0.026, safe=0.974]
наєбали  [safe: not_safe=0.021, safe=0.979]
наєбати  [safe: not_safe=0.011, safe=0.989]
наїбав  [safe: not_safe=0.400, safe=0.600]
наїбала  [safe: not_safe=0.529, safe=0.471]
наїбали  [safe: not_safe=0.256, safe=0.744]
наїбати  [safe: not_safe=0.731, safe=0.269]
невебенный  [safe: not_safe=0.012, safe=0.988]
обнаженный  [safe: not_safe=0.009, safe=0.991]
обоссаться  [safe: not_safe=0.018, safe=0.982]
опесдол  [not safe: not_safe=0.969, safe=0.031]
опизденеть  [not safe: not_safe=0.891, safe=0.109]
остохуительно  [not safe: not_safe=0.894, safe=0.106]
остоёбло  [safe: not_safe=0.175, safe=0.825]
отмудохать  [not safe: not_safe=0.948, safe=0.052]
отпиздить  [not safe: not_safe=0.977, safe=0.023]
отсоси  [not safe: not_safe=0.981, safe=0.019]
отъебись  [safe: not_safe=0.157, safe=0.843]
офигеть  [safe: not_safe=0.010, safe=0.990]
охуеть  [not safe: not_safe=0.976, safe=0.024]
охуительно  [safe: not_safe=0.070, safe=0.930]
падла  [not safe: not_safe=0.993, safe=0.007]
падло  [not safe: not_safe=0.976, safe=0.024]
падонок  [not safe: not_safe=0.835, safe=0.165]
педик  [safe: not_safe=0.563, safe=0.437]
пердеть  [safe: not_safe=0.529, safe=0.471]
пердун  [safe: not_safe=0.554, safe=0.446]
пидор  [safe: not_safe=0.671, safe=0.329]
пизд  [not safe: not_safe=0.991, safe=0.009]
пизда  [not safe: not_safe=0.988, safe=0.012]
пиздануть  [safe: not_safe=0.004, safe=0.996]
пиздато  [not safe: not_safe=0.938, safe=0.062]
пиздатый  [safe: not_safe=0.267, safe=0.733]
пиздеть  [not safe: not_safe=0.987, safe=0.013]
пиздец  [not safe: not_safe=0.989, safe=0.011]
пиздець  [not safe: not_safe=0.981, safe=0.019]
пизди  [not safe: not_safe=0.995, safe=0.005]
пиздолиз  [safe: not_safe=0.225, safe=0.775]
пиздолизить  [safe: not_safe=0.368, safe=0.632]
пиздолизня  [safe: not_safe=0.022, safe=0.978]
пиздоти  [not safe: not_safe=0.832, safe=0.168]
пиздуємо  [safe: not_safe=0.065, safe=0.935]
пиздюк  [safe: not_safe=0.675, safe=0.325]
пиздюлина  [not safe: not_safe=0.886, safe=0.114]
подонок  [not safe: not_safe=0.933, safe=0.067]
поебень  [safe: not_safe=0.017, safe=0.983]
пососаать  [safe: not_safe=0.076, safe=0.924]
пососав  [safe: not_safe=0.256, safe=0.744]
пососати  [safe: not_safe=0.279, safe=0.721]
пососи  [safe: not_safe=0.013, safe=0.987]
похуй  [not safe: not_safe=0.887, safe=0.113]
похую  [not safe: not_safe=0.973, safe=0.027]
похуям  [not safe: not_safe=0.937, safe=0.063]
пошлость  [safe: not_safe=0.027, safe=0.973]
поєбать  [safe: not_safe=0.008, safe=0.992]
присать  [not safe: not_safe=0.971, safe=0.029]
проебать  [not safe: not_safe=0.849, safe=0.151]
пройоб  [not safe: not_safe=0.941, safe=0.059]
пропездолочь  [not safe: not_safe=0.844, safe=0.156]
просрать  [safe: not_safe=0.112, safe=0.888]
проєбали  [safe: not_safe=0.480, safe=0.520]
пізда  [not safe: not_safe=0.989, safe=0.011]
піздата  [not safe: not_safe=0.956, safe=0.044]
піздати  [not safe: not_safe=0.928, safe=0.072]
піздато  [not safe: not_safe=0.963, safe=0.037]
піздаті  [not safe: not_safe=0.958, safe=0.042]
піздец  [not safe: not_safe=0.984, safe=0.016]
піздець  [not safe: not_safe=0.967, safe=0.033]
піздиш  [not safe: not_safe=0.866, safe=0.134]
піздолиз  [safe: not_safe=0.022, safe=0.978]
піздолизня  [safe: not_safe=0.009, safe=0.991]
піздота  [not safe: not_safe=0.890, safe=0.110]
піздотой  [safe: not_safe=0.026, safe=0.974]
піздотою  [safe: not_safe=0.019, safe=0.981]
піздти  [not safe: not_safe=0.997, safe=0.003]
пізду  [not safe: not_safe=0.959, safe=0.041]
піздує  [safe: not_safe=0.012, safe=0.988]
піздуємо  [safe: not_safe=0.011, safe=0.989]
піздуєте  [safe: not_safe=0.659, safe=0.341]
піздюк  [safe: not_safe=0.668, safe=0.332]
піздюки  [not safe: not_safe=0.863, safe=0.137]
піздюків  [safe: not_safe=0.387, safe=0.613]
пісюн  [not safe: not_safe=0.965, safe=0.035]
пісюна  [not safe: not_safe=0.891, safe=0.109]
пісюни  [not safe: not_safe=0.890, safe=0.110]
пісюнів  [safe: not_safe=0.693, safe=0.307]
піхуй  [safe: not_safe=0.393, safe=0.607]
разъёба  [safe: not_safe=0.403, safe=0.597]
разъёбывать  [safe: not_safe=0.014, safe=0.986]
распиздатый  [safe: not_safe=0.495, safe=0.505]
распиздяй  [safe: not_safe=0.189, safe=0.811]
сволочь  [safe: not_safe=0.800, safe=0.200]
секс  [safe: not_safe=0.004, safe=0.996]
сиськи  [not safe: not_safe=0.997, safe=0.003]
скотина  [safe: not_safe=0.488, safe=0.512]
соси  [not safe: not_safe=0.974, safe=0.026]
спиздить  [not safe: not_safe=0.985, safe=0.015]
сраный  [safe: not_safe=0.466, safe=0.534]
срань  [safe: not_safe=0.035, safe=0.965]
срать  [not safe: not_safe=0.915, safe=0.085]
ссать  [not safe: not_safe=0.919, safe=0.081]
стерва  [safe: not_safe=0.674, safe=0.326]
сук  [not safe: not_safe=0.906, safe=0.094]
сука  [not safe: not_safe=0.920, safe=0.080]
суки  [not safe: not_safe=0.934, safe=0.066]
сукою  [not safe: not_safe=0.973, safe=0.027]
сучара  [not safe: not_safe=0.876, safe=0.124]
сучарами  [not safe: not_safe=0.937, safe=0.063]
сучарою  [safe: not_safe=0.355, safe=0.645]
сучий  [safe: not_safe=0.133, safe=0.867]
сучка  [safe: not_safe=0.621, safe=0.379]
сучок  [safe: not_safe=0.090, safe=0.910]
сучці  [not safe: not_safe=0.975, safe=0.025]
съебаться  [safe: not_safe=0.004, safe=0.996]
тварь  [safe: not_safe=0.028, safe=0.972]
траxать  [safe: not_safe=0.139, safe=0.861]
трахаться  [safe: not_safe=0.148, safe=0.852]
тупой  [safe: not_safe=0.441, safe=0.559]
ублюдок  [safe: not_safe=0.005, safe=0.995]
убой  [safe: not_safe=0.120, safe=0.880]
уйоб  [safe: not_safe=0.715, safe=0.285]
уйобина  [not safe: not_safe=0.866, safe=0.134]
уйобище  [safe: not_safe=0.092, safe=0.908]
уйобок  [safe: not_safe=0.770, safe=0.230]
уйобство  [safe: not_safe=0.027, safe=0.973]
урод  [safe: not_safe=0.093, safe=0.907]
уёбище  [safe: not_safe=0.102, safe=0.898]
уїбати  [not safe: not_safe=0.922, safe=0.078]
уїбатись  [safe: not_safe=0.274, safe=0.726]
уїбатися  [safe: not_safe=0.588, safe=0.412]
уїбаться  [safe: not_safe=0.213, safe=0.787]
фига  [safe: not_safe=0.769, safe=0.231]
хапать  [safe: not_safe=0.725, safe=0.275]
хач  [safe: not_safe=0.009, safe=0.991]
хер  [not safe: not_safe=0.989, safe=0.011]
херовий  [safe: not_safe=0.495, safe=0.505]
херово  [safe: not_safe=0.742, safe=0.258]
хером  [safe: not_safe=0.089, safe=0.911]
хохол  [safe: not_safe=0.073, safe=0.927]
хрен  [safe: not_safe=0.033, safe=0.967]
хуеплет  [safe: not_safe=0.142, safe=0.858]
хуило  [safe: not_safe=0.110, safe=0.890]
хуиня  [safe: not_safe=0.082, safe=0.918]
хуй  [not safe: not_safe=0.945, safe=0.055]
хуйло  [not safe: not_safe=0.877, safe=0.123]
хуйлопан  [not safe: not_safe=0.916, safe=0.084]
хуйнуть  [not safe: not_safe=0.994, safe=0.006]
хуйовий  [safe: not_safe=0.070, safe=0.930]
хуйово  [safe: not_safe=0.766, safe=0.234]
хуйом  [not safe: not_safe=0.996, safe=0.004]
хуя  [not safe: not_safe=0.976, safe=0.024]
хуяльнiк  [not safe: not_safe=0.897, safe=0.103]
хуяльник  [safe: not_safe=0.802, safe=0.198]
хуяльнік  [not safe: not_safe=0.975, safe=0.025]
хуями  [not safe: not_safe=0.995, safe=0.005]
хуёво  [not safe: not_safe=0.896, safe=0.104]
хуёвый  [not safe: not_safe=0.894, safe=0.106]
хуєвий  [not safe: not_safe=0.923, safe=0.077]
хуєм  [not safe: not_safe=0.997, safe=0.003]
хуєсос  [not safe: not_safe=0.996, safe=0.004]
хуєсосити  [not safe: not_safe=0.997, safe=0.003]
хуєсосний  [not safe: not_safe=0.994, safe=0.006]
хуї  [safe: not_safe=0.195, safe=0.805]
хуїв  [safe: not_safe=0.036, safe=0.964]
хєр  [not safe: not_safe=0.988, safe=0.012]
черножопый  [not safe: not_safe=0.986, safe=0.014]
чмо  [safe: not_safe=0.664, safe=0.336]
шалава  [safe: not_safe=0.137, safe=0.863]
ёбарь  [safe: not_safe=0.711, safe=0.289]
єбобо  [not safe: not_safe=0.959, safe=0.041]
єбучий  [safe: not_safe=0.233, safe=0.767]
їбав  [not safe: not_safe=0.944, safe=0.056]
їбала  [not safe: not_safe=0.971, safe=0.029]
їбали  [not safe: not_safe=0.928, safe=0.072]
їбальний  [safe: not_safe=0.123, safe=0.877]
їбальник  [safe: not_safe=0.078, safe=0.922]
їбальнику  [safe: not_safe=0.011, safe=0.989]
їбана  [safe: not_safe=0.430, safe=0.570]
їбанат  [safe: not_safe=0.018, safe=0.982]
їбанута  [safe: not_safe=0.631, safe=0.369]
їбанути  [safe: not_safe=0.400, safe=0.600]
їбанутий  [safe: not_safe=0.546, safe=0.454]
їбанутись  [safe: not_safe=0.705, safe=0.295]
їбанько  [safe: not_safe=0.172, safe=0.828]
їбати  [not safe: not_safe=0.935, safe=0.065]
їбатись  [safe: not_safe=0.212, safe=0.788]
їбатися  [safe: not_safe=0.372, safe=0.628]
їбе  [safe: not_safe=0.014, safe=0.986]
їбеш  [safe: not_safe=0.755, safe=0.245]
їблана  [safe: not_safe=0.372, safe=0.628]
їблани  [not safe: not_safe=0.814, safe=0.186]
احتلام  [safe: not_safe=0.002, safe=0.998]
ارگاسم  [safe: not_safe=0.006, safe=0.994]
اغتصاب  [safe: not_safe=0.004, safe=0.996]
اونٹ  [safe: not_safe=0.012, safe=0.988]
برهنه  [not safe: not_safe=0.993, safe=0.007]
بز  [safe: not_safe=0.415, safe=0.585]
بزاز  [not safe: not_safe=0.972, safe=0.028]
بظر  [safe: not_safe=0.011, safe=0.989]
بندر  [not safe: not_safe=0.863, safe=0.137]
بيضان  [not safe: not_safe=0.917, safe=0.083]
بکواس  [safe: not_safe=0.408, safe=0.592]
بھاڑ  [safe: not_safe=0.371, safe=0.629]
بھنچود  [not safe: not_safe=0.946, safe=0.054]
بیوقوف  [safe: not_safe=0.006, safe=0.994]
بیگناہ  [not safe: not_safe=0.887, safe=0.113]
بے حیائی  [safe: not_safe=0.054, safe=0.946]
تجاوز  [safe: not_safe=0.005, safe=0.995]
تخمی  [safe: not_safe=0.009, safe=0.991]
تمص  [safe: not_safe=0.016, safe=0.984]
ثدي  [safe: not_safe=0.801, safe=0.199]
جق  [not safe: not_safe=0.930, safe=0.070]
جقی  [not safe: not_safe=0.844, safe=0.156]
جلق  [not safe: not_safe=0.990, safe=0.010]
جماع  [safe: not_safe=0.160, safe=0.840]
جنده  [safe: not_safe=0.025, safe=0.975]
حرام  [not safe: not_safe=0.951, safe=0.049]
حرامزادہ  [not safe: not_safe=0.812, safe=0.188]
حشر  [safe: not_safe=0.063, safe=0.937]
حشری  [safe: not_safe=0.021, safe=0.979]
حلمة  [safe: not_safe=0.405, safe=0.595]
ختن  [not safe: not_safe=0.958, safe=0.042]
خرة  [not safe: not_safe=0.935, safe=0.065]
خنثي  [safe: not_safe=0.470, safe=0.530]
خوار  [safe: not_safe=0.006, safe=0.994]
خول  [not safe: not_safe=0.930, safe=0.070]
داف  [safe: not_safe=0.725, safe=0.275]
دفا  [safe: not_safe=0.346, safe=0.654]
دودول  [safe: not_safe=0.044, safe=0.956]
زب  [safe: not_safe=0.679, safe=0.321]
سحاق  [safe: not_safe=0.019, safe=0.981]
سحاقية  [safe: not_safe=0.045, safe=0.955]
سخت  [safe: not_safe=0.404, safe=0.596]
سكس  [safe: not_safe=0.008, safe=0.992]
سوپر  [safe: not_safe=0.005, safe=0.995]
سکس  [safe: not_safe=0.006, safe=0.994]
سکسی  [safe: not_safe=0.007, safe=0.993]
سگا  [safe: not_safe=0.078, safe=0.922]
شاذ  [safe: not_safe=0.341, safe=0.659]
شرج  [not safe: not_safe=0.985, safe=0.015]
شرموطة  [not safe: not_safe=0.993, safe=0.007]
شهوة  [safe: not_safe=0.537, safe=0.463]
شهوت  [not safe: not_safe=0.953, safe=0.047]
شهوتی  [safe: not_safe=0.490, safe=0.510]
شونبول  [safe: not_safe=0.111, safe=0.889]
طيز  [not safe: not_safe=0.954, safe=0.046]
عاهرة  [safe: not_safe=0.005, safe=0.995]
عرص  [safe: not_safe=0.004, safe=0.996]
فحش  [safe: not_safe=0.007, safe=0.993]
فرج  [not safe: not_safe=0.970, safe=0.030]
قحبة  [not safe: not_safe=0.965, safe=0.035]
قضيب  [safe: not_safe=0.005, safe=0.995]
كس  [safe: not_safe=0.287, safe=0.713]
لاشی  [safe: not_safe=0.373, safe=0.627]
لاپا  [safe: not_safe=0.621, safe=0.379]
لاپایی  [safe: not_safe=0.169, safe=0.831]
لبوة  [not safe: not_safe=0.925, safe=0.075]
لحس  [safe: not_safe=0.041, safe=0.959]
لخت  [safe: not_safe=0.687, safe=0.313]
لش  [safe: not_safe=0.703, safe=0.297]
لعق  [not safe: not_safe=0.947, safe=0.053]
لنڈ  [safe: not_safe=0.179, safe=0.821]
لواط  [not safe: not_safe=0.950, safe=0.050]
لوطي  [not safe: not_safe=0.992, safe=0.008]
لونڈ  [not safe: not_safe=0.997, safe=0.003]
مبادل  [safe: not_safe=0.003, safe=0.997]
متنا  [not safe: not_safe=0.992, safe=0.008]
متناك  [not safe: not_safe=0.924, safe=0.076]
متناكة  [not safe: not_safe=0.943, safe=0.057]
متنی  [safe: not_safe=0.091, safe=0.909]
مداری  [safe: not_safe=0.023, safe=0.977]
مردانگی  [safe: not_safe=0.065, safe=0.935]
مص  [safe: not_safe=0.016, safe=0.984]
مفلقسة  [safe: not_safe=0.373, safe=0.627]
منی  [safe: not_safe=0.678, safe=0.322]
موچ  [safe: not_safe=0.719, safe=0.281]
مکھی  [safe: not_safe=0.005, safe=0.995]
نجس  [safe: not_safe=0.007, safe=0.993]
نيك  [safe: not_safe=0.127, safe=0.873]
هرزه  [not safe: not_safe=0.993, safe=0.007]
يا ابن البغل  [not safe: not_safe=0.983, safe=0.017]
يا ابن الجحش  [not safe: not_safe=0.991, safe=0.009]
يا ابن الحرام  [not safe: not_safe=0.969, safe=0.031]
يا ابن القحبة  [not safe: not_safe=0.994, safe=0.006]
يا ابن الكلب  [not safe: not_safe=0.979, safe=0.021]
يا ابن الوسخة  [not safe: not_safe=0.991, safe=0.009]
يا باغي  [not safe: not_safe=0.993, safe=0.007]
يا بزر  [not safe: not_safe=0.998, safe=0.002]
يا بنت البغل  [not safe: not_safe=0.996, safe=0.004]
يا بنت الجحش  [not safe: not_safe=0.997, safe=0.003]
يا بنت الحرام  [not safe: not_safe=0.993, safe=0.007]
يا بنت الكلبة  [not safe: not_safe=0.996, safe=0.004]
يا بنت الوسخة  [not safe: not_safe=0.997, safe=0.003]
يا جبان  [not safe: not_safe=0.997, safe=0.003]
يا جحش  [not safe: not_safe=0.997, safe=0.003]
يا حشر  [not safe: not_safe=0.998, safe=0.002]
يا حقير  [not safe: not_safe=0.998, safe=0.002]
يا حقيرة  [not safe: not_safe=0.998, safe=0.002]
يا حمار  [not safe: not_safe=0.998, safe=0.002]
يا خنزير  [not safe: not_safe=0.998, safe=0.002]
يا زبال  [not safe: not_safe=0.996, safe=0.004]
يا زبالة  [not safe: not_safe=0.997, safe=0.003]
يا زفت  [not safe: not_safe=0.997, safe=0.003]
يا زق  [not safe: not_safe=0.997, safe=0.003]
يا زنديق  [not safe: not_safe=0.998, safe=0.002]
يا سافل  [not safe: not_safe=0.997, safe=0.003]
يا ساقطة  [not safe: not_safe=0.998, safe=0.002]
يا سلخ  [not safe: not_safe=0.997, safe=0.003]
يا شاذ  [not safe: not_safe=0.998, safe=0.002]
يا شاذة  [not safe: not_safe=0.998, safe=0.002]
يا شرموط  [not safe: not_safe=0.998, safe=0.002]
يا شرموطة  [not safe: not_safe=0.998, safe=0.002]
يا عاهر  [not safe: not_safe=0.995, safe=0.005]
يا عاهرة  [not safe: not_safe=0.992, safe=0.008]
يا كافر  [not safe: not_safe=0.997, safe=0.003]
يا كلب  [not safe: not_safe=0.995, safe=0.005]
يا مخنث  [not safe: not_safe=0.997, safe=0.003]
يا وسخ  [not safe: not_safe=0.998, safe=0.002]
يا وسخة  [not safe: not_safe=0.998, safe=0.002]
يا ولد الحرام  [not safe: not_safe=0.997, safe=0.003]
يا ولد الحمار  [not safe: not_safe=0.998, safe=0.002]
يا ولد القحبة  [not safe: not_safe=0.998, safe=0.002]
يا ولد القرد  [not safe: not_safe=0.998, safe=0.002]
يا ولد الكلب  [not safe: not_safe=0.998, safe=0.002]
يا ولد الكلبة  [not safe: not_safe=0.998, safe=0.002]
يا ولد الوسخ  [not safe: not_safe=0.998, safe=0.002]
پاپڑ  [safe: not_safe=0.799, safe=0.201]
پنکچر  [not safe: not_safe=0.985, safe=0.015]
پورن  [safe: not_safe=0.021, safe=0.979]
پورنو  [safe: not_safe=0.028, safe=0.972]
چوتر  [not safe: not_safe=0.995, safe=0.005]
چوچول  [not safe: not_safe=0.962, safe=0.038]
چکلا  [safe: not_safe=0.533, safe=0.467]
کتھ پتھ  [not safe: not_safe=0.988, safe=0.012]
کتیا  [safe: not_safe=0.655, safe=0.345]
کس  [safe: not_safe=0.419, safe=0.581]
کسکش  [safe: not_safe=0.062, safe=0.938]
کمی  [safe: not_safe=0.798, safe=0.202]
کمینہ  [safe: not_safe=0.037, safe=0.963]
کمینی  [safe: not_safe=0.582, safe=0.418]
کمینے  [not safe: not_safe=0.978, safe=0.022]
کنٹول  [safe: not_safe=0.006, safe=0.994]
کوس  [safe: not_safe=0.357, safe=0.643]
کون  [not safe: not_safe=0.831, safe=0.169]
کونکش  [safe: not_safe=0.079, safe=0.921]
کونی  [safe: not_safe=0.468, safe=0.532]
کٹھن  [not safe: not_safe=0.983, safe=0.017]
کچر  [not safe: not_safe=0.987, safe=0.013]
کھوتا  [not safe: not_safe=0.891, safe=0.109]
کھوتی  [safe: not_safe=0.619, safe=0.381]
کیر  [not safe: not_safe=0.872, safe=0.128]
کیری  [safe: not_safe=0.805, safe=0.195]
گال  [safe: not_safe=0.007, safe=0.993]
گانڈ  [not safe: not_safe=0.924, safe=0.076]
گدھے  [not safe: not_safe=0.976, safe=0.024]
گنڈ  [safe: not_safe=0.696, safe=0.304]
گھوڑ  [safe: not_safe=0.501, safe=0.499]
گھڑ  [safe: not_safe=0.610, safe=0.390]
कमीना  [not safe: not_safe=0.987, safe=0.013]
कमीनी  [not safe: not_safe=0.996, safe=0.004]
कमीने  [not safe: not_safe=0.996, safe=0.004]
कुत्ते  [safe: not_safe=0.590, safe=0.410]
कुत्ते के बच्चे  [not safe: not_safe=0.996, safe=0.004]
गंद  [safe: not_safe=0.594, safe=0.406]
गांड  [safe: not_safe=0.636, safe=0.364]
गांडमारना  [safe: not_safe=0.615, safe=0.385]
